Source page: http://www.oxforddictionaries.com/top1000/english,
link,link/_text,link/_title,arl_value,arldict_flag,label,definition_description,"_PAGE_NUMBER"
"http://www.oxforddictionaries.com/definition/english/a","a British & World English","English definition of a in Oxford Dictionaries (British & World English)","a","British & World English","…","Used when mentioning someone or something for the first time in a text or conversation","1"
"http://www.oxforddictionaries.com/definition/english/ability","ability British & World English","English definition of ability in Oxford Dictionaries (British & World English)","ability","British & World English","…","Possession of the means or skill to do something","1"
"http://www.oxforddictionaries.com/definition/english/able","able British & World English","English definition of able in Oxford Dictionaries (British & World English)","able","British & World English","…","Having the power, skill, means, or opportunity to do something","1"
"http://www.oxforddictionaries.com/definition/english/about","about British & World English","English definition of about in Oxford Dictionaries (British & World English)","about","British & World English","…","On the subject of; concerning","1"
"http://www.oxforddictionaries.com/definition/english/above","above British & World English","English definition of above in Oxford Dictionaries (British & World English)","above","British & World English","…","In extended space over and not touching","1"
"http://www.oxforddictionaries.com/definition/english/accept","accept British & World English","English definition of accept in Oxford Dictionaries (British & World English)","accept","British & World English","…","Consent to receive or undertake (something offered)","1"
"http://www.oxforddictionaries.com/definition/english/access","access British & World English","English definition of access in Oxford Dictionaries (British & World English)","access","British & World English","…","The means or opportunity to approach or enter a place","1"
"http://www.oxforddictionaries.com/definition/english/account","account British & World English","English definition of account in Oxford Dictionaries (British & World English)","account","British & World English","…","A report or description of an event or experience","1"
"http://www.oxforddictionaries.com/definition/english/achieve","achieve British & World English","English definition of achieve in Oxford Dictionaries (British & World English)","achieve","British & World English","…","Successfully bring about or reach (a desired objective or result) by effort, skill, or courage","1"
"http://www.oxforddictionaries.com/definition/english/across","across British & World English","English definition of across in Oxford Dictionaries (British & World English)","across","British & World English","…","From one side to the other of (a place, area, etc.)","1"
"http://www.oxforddictionaries.com/definition/english/act","act British & World English","English definition of act in Oxford Dictionaries (British & World English)","act","British & World English","…","Take action; do something","1"
"http://www.oxforddictionaries.com/definition/english/action","action British & World English","English definition of action in Oxford Dictionaries (British & World English)","action","British & World English","…","The fact or process of doing something, typically to achieve an aim","1"
"http://www.oxforddictionaries.com/definition/english/activity","activity British & World English","English definition of activity in Oxford Dictionaries (British & World English)","activity","British & World English","…","The condition in which things are happening or being done","1"
"http://www.oxforddictionaries.com/definition/english/actually","actually British & World English","English definition of actually in Oxford Dictionaries (British & World English)","actually","British & World English","…","As the truth or facts of a situation","1"
"http://www.oxforddictionaries.com/definition/english/add","add British & World English","English definition of add in Oxford Dictionaries (British & World English)","add","British & World English","…","Join (something) to something else so as to increase the size, number, or amount","1"
"http://www.oxforddictionaries.com/definition/english/address","address British & World English","English definition of address in Oxford Dictionaries (British & World English)","address","British & World English","…","The particulars of the place where someone lives or an organization is situated","1"
"http://www.oxforddictionaries.com/definition/english/administration","administration British & World English","English definition of administration in Oxford Dictionaries (British & World English)","administration","British & World English","…","The process or activity of running a business, organization, etc.","1"
"http://www.oxforddictionaries.com/definition/english/admit","admit British & World English","English definition of admit in Oxford Dictionaries (British & World English)","admit","British & World English","…","Confess to be true or to be the case","1"
"http://www.oxforddictionaries.com/definition/english/adult","adult British & World English","English definition of adult in Oxford Dictionaries (British & World English)","adult","British & World English","…","A person who is fully grown or developed","1"
"http://www.oxforddictionaries.com/definition/english/affect","affect British & World English","English definition of affect in Oxford Dictionaries (British & World English)","affect","British & World English","…","Have an effect on; make a difference to","1"
"http://www.oxforddictionaries.com/definition/english/after","after British & World English","English definition of after in Oxford Dictionaries (British & World English)","after","British & World English","…","In the time following (an event or another period of time)","1"
"http://www.oxforddictionaries.com/definition/english/again","again British & World English","English definition of again in Oxford Dictionaries (British & World English)","again","British & World English","…","Another time; once more","1"
"http://www.oxforddictionaries.com/definition/english/against","against British & World English","English definition of against in Oxford Dictionaries (British & World English)","against","British & World English","…","In opposition to","1"
"http://www.oxforddictionaries.com/definition/english/age","age British & World English","English definition of age in Oxford Dictionaries (British & World English)","age","British & World English","…","The length of time that a person has lived or a thing has existed","1"
"http://www.oxforddictionaries.com/definition/english/ago","ago British & World English","English definition of ago in Oxford Dictionaries (British & World English)","ago","British & World English","…","Before the present; earlier (used with a measurement of time)","1"
"http://www.oxforddictionaries.com/definition/english/agree","agree British & World English","English definition of agree in Oxford Dictionaries (British & World English)","agree","British & World English","…","Have the same opinion about something; concur","1"
"http://www.oxforddictionaries.com/definition/english/agreement","agreement British & World English","English definition of agreement in Oxford Dictionaries (British & World English)","agreement","British & World English","…","Harmony or accordance in opinion or feeling","1"
"http://www.oxforddictionaries.com/definition/english/aim","aim British & World English","English definition of aim in Oxford Dictionaries (British & World English)","aim","British & World English","…","Point or direct (a weapon or camera) at a target","1"
"http://www.oxforddictionaries.com/definition/english/air","air British & World English","English definition of air in Oxford Dictionaries (British & World English)","air","British & World English","…","The invisible gaseous substance surrounding the earth, a mixture mainly of oxygen and nitrogen","1"
"http://www.oxforddictionaries.com/definition/english/album","album British & World English","English definition of album in Oxford Dictionaries (British & World English)","album","British & World English","…","A blank book for the insertion of photographs, stamps, or pictures","1"
"http://www.oxforddictionaries.com/definition/english/all","all British & World English","English definition of all in Oxford Dictionaries (British & World English)","all","British & World English","…","Used to refer to the whole quantity or extent of a particular group or thing","1"
"http://www.oxforddictionaries.com/definition/english/allow","allow British & World English","English definition of allow in Oxford Dictionaries (British & World English)","allow","British & World English","…","Let (someone) have or do something","1"
"http://www.oxforddictionaries.com/definition/english/almost","almost British & World English","English definition of almost in Oxford Dictionaries (British & World English)","almost","British & World English","…","Not quite; very nearly","1"
"http://www.oxforddictionaries.com/definition/english/alone","alone British & World English","English definition of alone in Oxford Dictionaries (British & World English)","alone","British & World English","…","Having no one else present; on one’s own","1"
"http://www.oxforddictionaries.com/definition/english/along","along British & World English","English definition of along in Oxford Dictionaries (British & World English)","along","British & World English","…","Moving in a constant direction on (a more or less horizontal surface)","1"
"http://www.oxforddictionaries.com/definition/english/already","already British & World English","English definition of already in Oxford Dictionaries (British & World English)","already","British & World English","…","Before or by now or the time in question","1"
"http://www.oxforddictionaries.com/definition/english/also","also British & World English","English definition of also in Oxford Dictionaries (British & World English)","also","British & World English","…","In addition; too","1"
"http://www.oxforddictionaries.com/definition/english/although","although British & World English","English definition of although in Oxford Dictionaries (British & World English)","although","British & World English","…","In spite of the fact that; even though","1"
