Words,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,Phonemes,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
a,a,?,?,?,?,?,?,?,?,?,?,?,?,?,A,A,?,?,?,?,?,?,?,?,?
a,a,?,?,?,?,?,?,?,?,?,?,?,?,?,!,!,?,?,?,?,?,?,?,?,?
ability,a,b,i,l,i,t,y,?,?,?,?,?,?,?,A0bIlIti,A,0,b,I,l,I,t,i,?,?
able,a,b,l,e,?,?,?,?,?,?,?,?,?,?,0!b(A)l,0,!,b,(A),l,?,?,?,?,?
about,a,b,o,u,t,?,?,?,?,?,?,?,?,?,A0b9t,A,0,b,9,t,?,?,?,?,?
above,a,b,o,v,e,?,?,?,?,?,?,?,?,?,A0buv,A,0,b,u,v,?,?,?,?,?
accept,a,c,c,e,p,t,?,?,?,?,?,?,?,?,Ak0sept,A,k,0,s,e,p,t,?,?,?
access,a,c,c,e,s,s,?,?,?,?,?,?,?,?,0akses,0,a,k,s,e,s,?,?,?,?
account,a,c,c,o,u,n,t,?,?,?,?,?,?,?,A0k9nt,A,0,k,9,n,t,?,?,?,?
achieve,a,c,h,i,e,v,e,?,?,?,?,?,?,?,A0^v,A,0,^,v,?,?,?,?,?,?
across,a,c,r,o,s,s,?,?,?,?,?,?,?,?,A0kros,A,0,k,r,o,s,?,?,?,?
act,a,c,t,?,?,?,?,?,?,?,?,?,?,?,akt,a,k,t,?,?,?,?,?,?,?
action,a,c,t,i,o,n,?,?,?,?,?,?,?,?,0akF(A)n,0,a,k,F,(A),n,?,?,?,?
activity,a,c,t,i,v,i,t,y,?,?,?,?,?,?,ak0tIvIti,a,k,0,t,I,v,I,t,i,?
actually,a,c,t,u,a,l,l,y,?,?,?,?,?,?,0akZ4li,0,a,k,Z,4,l,i,?,?,?
add,a,d,d,?,?,?,?,?,?,?,?,?,?,?,ad,a,d,?,?,?,?,?,?,?,?
address,a,d,d,r,e,s,s,?,?,?,?,?,?,?,A0dres,A,0,d,r,e,s,?,?,?,?
admit,a,d,m,i,t,?,?,?,?,?,?,?,?,?,Ad0mIt,A,d,0,m,I,t,?,?,?,?
adult,a,d,u,l,t,?,?,?,?,?,?,?,?,?,0adult,0,a,d,u,l,t,?,?,?,?
adult,a,d,u,l,t,?,?,?,?,?,?,?,?,?,A0dult,A,0,d,u,l,t,?,?,?,?
affect,a,f,f,e,c,t,?,?,?,?,?,?,?,?,A0fekt,A,0,f,e,k,t,?,?,?,?
after,a,f,t,e,r,?,?,?,?,?,?,?,?,?,02ftA,0,2,f,t,A,?,?,?,?,?
again,a,g,a,i,n,?,?,?,?,?,?,?,?,?,A0?en,A,0,?,e,n,?,?,?,?,?
again,a,g,a,i,n,?,?,?,?,?,?,?,?,?,A0?!n,A,0,?,!,n,?,?,?,?,?
against,a,g,a,i,n,s,t,?,?,?,?,?,?,?,A0?enst,A,0,?,e,n,s,t,?,?,?
against,a,g,a,i,n,s,t,?,?,?,?,?,?,?,A0?!nst,A,0,?,!,n,s,t,?,?,?
age,a,g,e,?,?,?,?,?,?,?,?,?,?,?,!J,!,J,?,?,?,?,?,?,?,?
ago,a,g,o,?,?,?,?,?,?,?,?,?,?,?,A0?Z,A,0,?,Z,?,?,?,?,?,?
agree,a,g,r,e,e,?,?,?,?,?,?,?,?,?,A0?r5,A,0,?,r,5,?,?,?,?,?
agreement,a,g,r,e,e,m,e,n,t,?,?,?,?,?,A0?r5m(A)nt,A,0,?,r,5,m,(A),n,t,?
aim,a,i,m,?,?,?,?,?,?,?,?,?,?,?,!m,!,m,?,?,?,?,?,?,?,?
air,a,i,r,?,?,?,?,?,?,?,?,?,?,?,3,3,?,?,?,?,?,?,?,?,?
album,a,l,b,u,m,?,?,?,?,?,?,?,?,?,0albAm,0,a,l,b,A,m,?,?,?,?
all,a,l,l,?,?,?,?,?,?,?,?,?,?,?,6l,6,l,?,?,?,?,?,?,?,?
allow,a,l,l,o,w,?,?,?,?,?,?,?,?,?,A0l9,A,0,l,9,?,?,?,?,?,?
almost,a,l,m,o,s,t,?,?,?,?,?,?,?,?,06lmZst,0,6,l,m,Z,s,t,?,?,?
alone,a,l,o,n,e,?,?,?,?,?,?,?,?,?,A0lZn,A,0,l,Z,n,?,?,?,?,?
along,a,l,o,n,g,?,?,?,?,?,?,?,?,?,A0loN,A,0,l,o,N,?,?,?,?,?
already,a,l,r,e,a,d,y,?,?,?,?,?,?,?,6l0redi,6,l,0,r,e,d,i,?,?,?
also,a,l,s,o,?,?,?,?,?,?,?,?,?,?,06lsZ,0,6,l,s,Z,?,?,?,?,?
although,a,l,t,h,o,u,g,h,?,?,?,?,?,?,6l0TZ,6,l,0,T,Z,?,?,?,?,?
although,a,l,t,h,o,u,g,h,?,?,?,?,?,?,ol0TZ,o,l,0,T,Z,?,?,?,?,?
always,a,l,w,a,y,s,?,?,?,?,?,?,?,?,06lw!z,0,6,l,w,!,z,?,?,?,?
among,a,m,o,n,g,?,?,?,?,?,?,?,?,?,A0muN,A,0,m,u,N,?,?,?,?,?
amount,a,m,o,u,n,t,?,?,?,?,?,?,?,?,A0m9nt,A,0,m,9,n,t,?,?,?,?
analysis,a,n,a,l,y,s,i,s,?,?,?,?,?,?,A0nalIsIs,A,0,n,a,l,I,s,I,s,?
and,a,n,d,?,?,?,?,?,?,?,?,?,?,?,And,A,n,d,?,?,?,?,?,?,?
and,a,n,d,?,?,?,?,?,?,?,?,?,?,?,(A)n,(A),n,?,?,?,?,?,?,?,?
and,a,n,d,?,?,?,?,?,?,?,?,?,?,?,and,a,n,d,?,?,?,?,?,?,?
animal,a,n,i,m,a,l,?,?,?,?,?,?,?,?,0anIm(A)l,0,a,n,I,m,(A),l,?,?,?
announce,a,n,n,o,u,n,c,e,?,?,?,?,?,?,A0n9ns,A,0,n,9,n,s,?,?,?,?
another,a,n,o,t,h,e,r,?,?,?,?,?,?,?,A0nuTA,A,0,n,u,T,A,?,?,?,?
answer,a,n,s,w,e,r,?,?,?,?,?,?,?,?,02nsA,0,2,n,s,A,?,?,?,?,?
any,a,n,y,?,?,?,?,?,?,?,?,?,?,?,0eni,0,e,n,i,?,?,?,?,?,?
anyone,a,n,y,o,n,e,?,?,?,?,?,?,?,?,0enIwun,0,e,n,I,w,u,n,?,?,?
anything,a,n,y,t,h,i,n,g,?,?,?,?,?,?,0enIOIN,0,e,n,I,O,I,N,?,?,?
appeal,a,p,p,e,a,l,?,?,?,?,?,?,?,?,A0p5l,A,0,p,5,l,?,?,?,?,?
appear,a,p,p,e,a,r,?,?,?,?,?,?,?,?,A0p£,A,0,p,£,?,?,?,?,?,?
application,a,p,p,l,i,c,a,t,i,o,n,?,?,?,aplI0k!F(A)n,a,p,l,I,0,k,!,F,(A),n
apply,a,p,p,l,y,?,?,?,?,?,?,?,?,?,A0pl8,A,0,p,l,8,?,?,?,?,?
approach,a,p,p,r,o,a,c,h,?,?,?,?,?,?,A0prZ1,A,0,p,r,Z,1,?,?,?,?
area,a,r,e,a,?,?,?,?,?,?,?,?,?,?,03r£,0,3,r,£,?,?,?,?,?,?
argue,a,r,g,u,e,?,?,?,?,?,?,?,?,?,02?j7,0,2,?,j,7,?,?,?,?,?
argument,a,r,g,u,m,e,n,t,?,?,?,?,?,?,02?jUm(A)nt,0,2,?,j,U,m,(A),n,t,?
arm,a,r,m,?,?,?,?,?,?,?,?,?,?,?,2m,2,m,?,?,?,?,?,?,?,?
around,a,r,o,u,n,d,?,?,?,?,?,?,?,?,A0r9nd,A,0,r,9,n,d,?,?,?,?
arrive,a,r,r,i,v,e,?,?,?,?,?,?,?,?,A0r8v,A,0,r,8,v,?,?,?,?,?
art,a,r,t,?,?,?,?,?,?,?,?,?,?,?,2t,2,t,?,?,?,?,?,?,?,?
article,a,r,t,i,c,l,e,?,?,?,?,?,?,?,02tIk(A)l,0,2,t,I,k,(A),l,?,?,?
artist,a,r,t,i,s,t,?,?,?,?,?,?,?,?,02tIst,0,2,t,I,s,t,?,?,?,?
as,a,s,?,?,?,?,?,?,?,?,?,?,?,?,az,a,z,?,?,?,?,?,?,?,?
as,a,s,?,?,?,?,?,?,?,?,?,?,?,?,Az,A,z,?,?,?,?,?,?,?,?
ask,a,s,k,?,?,?,?,?,?,?,?,?,?,?,2sk,2,s,k,?,?,?,?,?,?,?
associate,a,s,s,o,c,i,a,t,e,?,?,?,?,?,A0sZFI!t,A,0,s,Z,F,I,!,t,?,?
associate,a,s,s,o,c,i,a,t,e,?,?,?,?,?,A0sZsI!t,A,0,s,Z,s,I,!,t,?,?
assume,a,s,s,u,m,e,?,?,?,?,?,?,?,?,A0sj7m,A,0,s,j,7,m,?,?,?,?
at,a,t,?,?,?,?,?,?,?,?,?,?,?,?,at,a,t,?,?,?,?,?,?,?,?
at,a,t,?,?,?,?,?,?,?,?,?,?,?,?,At,A,t,?,?,?,?,?,?,?,?
attack,a,t,t,a,c,k,?,?,?,?,?,?,?,?,A0tak,A,0,t,a,k,?,?,?,?,?
attempt,a,t,t,e,m,p,t,?,?,?,?,?,?,?,A0tem(p)t,A,0,t,e,m,(p),t,?,?,?
attend,a,t,t,e,n,d,?,?,?,?,?,?,?,?,A0tend,A,0,t,e,n,d,?,?,?,?
attention,a,t,t,e,n,t,i,o,n,?,?,?,?,?,A0tenF(A)n,A,0,t,e,n,F,(A),n,?,?
audience,a,u,d,i,e,n,c,e,?,?,?,?,?,?,06d£ns,0,6,d,£,n,s,?,?,?,?
author,a,u,t,h,o,r,?,?,?,?,?,?,?,?,06OA,0,6,O,A,?,?,?,?,?,?
authority,a,u,t,h,o,r,i,t,y,?,?,?,?,?,60OorIti,6,0,O,o,r,I,t,i,?,?
available,a,v,a,i,l,a,b,l,e,?,?,?,?,?,A0v!lAb(A)l,A,0,v,!,l,A,b,(A),l,?
average,a,v,e,r,a,g,e,?,?,?,?,?,?,?,0av(A)rIJ,0,a,v,(A),r,I,J,?,?,?
avoid,a,v,o,i,d,?,?,?,?,?,?,?,?,?,A0v$d,A,0,v,$,d,?,?,?,?,?
award,a,w,a,r,d,?,?,?,?,?,?,?,?,?,A0w6d,A,0,w,6,d,?,?,?,?,?
away,a,w,a,y,?,?,?,?,?,?,?,?,?,?,A0w!,A,0,w,!,?,?,?,?,?,?
back,b,a,c,k,?,?,?,?,?,?,?,?,?,?,bak,b,a,k,?,?,?,?,?,?,?
bad,b,a,d,?,?,?,?,?,?,?,?,?,?,?,bad,b,a,d,?,?,?,?,?,?,?
ball,b,a,l,l,?,?,?,?,?,?,?,?,?,?,b6l,b,6,l,?,?,?,?,?,?,?
band,b,a,n,d,?,?,?,?,?,?,?,?,?,?,band,b,a,n,d,?,?,?,?,?,?
bank,b,a,n,k,?,?,?,?,?,?,?,?,?,?,baNk,b,a,N,k,?,?,?,?,?,?
bar,b,a,r,?,?,?,?,?,?,?,?,?,?,?,b2,b,2,?,?,?,?,?,?,?,?
base,b,a,s,e,?,?,?,?,?,?,?,?,?,?,b!s,b,!,s,?,?,?,?,?,?,?
basis,b,a,s,i,s,?,?,?,?,?,?,?,?,?,0b!sIs,0,b,!,s,I,s,?,?,?,?
battle,b,a,t,t,l,e,?,?,?,?,?,?,?,?,0bat(A)l,0,b,a,t,(A),l,?,?,?,?
be,b,e,?,?,?,?,?,?,?,?,?,?,?,?,b5,b,5,?,?,?,?,?,?,?,?
beat,b,e,a,t,?,?,?,?,?,?,?,?,?,?,b5t,b,5,t,?,?,?,?,?,?,?
because,b,e,c,a,u,s,e,?,?,?,?,?,?,?,bI0koz,b,I,0,k,o,z,?,?,?,?
become,b,e,c,o,m,e,?,?,?,?,?,?,?,?,bI0kum,b,I,0,k,u,m,?,?,?,?
before,b,e,f,o,r,e,?,?,?,?,?,?,?,?,bI0f6,b,I,0,f,6,?,?,?,?,?
begin,b,e,g,i,n,?,?,?,?,?,?,?,?,?,bI0?In,b,I,0,?,I,n,?,?,?,?
behaviour,b,e,h,a,v,i,o,u,r,?,?,?,?,?,bI0h!vjA,b,I,0,h,!,v,j,A,?,?
behind,b,e,h,i,n,d,?,?,?,?,?,?,?,?,bI0h8nd,b,I,0,h,8,n,d,?,?,?
believe,b,e,l,i,e,v,e,?,?,?,?,?,?,?,bI0l5v,b,I,0,l,5,v,?,?,?,?
benefit,b,e,n,e,f,i,t,?,?,?,?,?,?,?,0benIfIt,0,b,e,n,I,f,I,t,?,?
between,b,e,t,w,e,e,n,?,?,?,?,?,?,?,bI0tw5n,b,I,0,t,w,5,n,?,?,?
beyond,b,e,y,o,n,d,?,?,?,?,?,?,?,?,bI0jond,b,I,0,j,o,n,d,?,?,?
big,b,i,g,?,?,?,?,?,?,?,?,?,?,?,bI?,b,I,?,?,?,?,?,?,?,?
bill,b,i,l,l,?,?,?,?,?,?,?,?,?,?,bIl,b,I,l,?,?,?,?,?,?,?
billion,b,i,l,l,i,o,n,?,?,?,?,?,?,?,0bIljAn,0,b,I,l,j,A,n,?,?,?
black,b,l,a,c,k,?,?,?,?,?,?,?,?,?,blak,b,l,a,k,?,?,?,?,?,?
blood,b,l,o,o,d,?,?,?,?,?,?,?,?,?,blud,b,l,u,d,?,?,?,?,?,?
board,b,o,a,r,d,?,?,?,?,?,?,?,?,?,b6d,b,6,d,?,?,?,?,?,?,?
body,b,o,d,y,?,?,?,?,?,?,?,?,?,?,0bodi,0,b,o,d,i,?,?,?,?,?
book,b,o,o,k,?,?,?,?,?,?,?,?,?,?,bUk,b,U,k,?,?,?,?,?,?,?
both,b,o,t,h,?,?,?,?,?,?,?,?,?,?,bZO,b,Z,O,?,?,?,?,?,?,?
box,b,o,x,?,?,?,?,?,?,?,?,?,?,?,boks,b,o,k,s,?,?,?,?,?,?
boy,b,o,y,?,?,?,?,?,?,?,?,?,?,?,b$,b,$,?,?,?,?,?,?,?,?
break,b,r,e,a,k,?,?,?,?,?,?,?,?,?,br!k,b,r,!,k,?,?,?,?,?,?
bring,b,r,i,n,g,?,?,?,?,?,?,?,?,?,brIN,b,r,I,N,?,?,?,?,?,?
build,b,u,i,l,d,?,?,?,?,?,?,?,?,?,bIld,b,I,l,d,?,?,?,?,?,?
building,b,u,i,l,d,i,n,g,?,?,?,?,?,?,0bIldIN,0,b,I,l,d,I,N,?,?,?
business,b,u,s,i,n,e,s,s,?,?,?,?,?,?,0bIznAs,0,b,I,z,n,A,s,?,?,?
but,b,u,t,?,?,?,?,?,?,?,?,?,?,?,but,b,u,t,?,?,?,?,?,?,?
but,b,u,t,?,?,?,?,?,?,?,?,?,?,?,bAt,b,A,t,?,?,?,?,?,?,?
buy,b,u,y,?,?,?,?,?,?,?,?,?,?,?,b8,b,8,?,?,?,?,?,?,?,?
by,b,y,?,?,?,?,?,?,?,?,?,?,?,?,b8,b,8,?,?,?,?,?,?,?,?
call,c,a,l,l,?,?,?,?,?,?,?,?,?,?,k6l,k,6,l,?,?,?,?,?,?,?
campaign,c,a,m,p,a,i,g,n,?,?,?,?,?,?,kam0p!n,k,a,m,0,p,!,n,?,?,?
can,c,a,n,?,?,?,?,?,?,?,?,?,?,?,kan,k,a,n,?,?,?,?,?,?,?
can,c,a,n,?,?,?,?,?,?,?,?,?,?,?,kAn,k,A,n,?,?,?,?,?,?,?
candidate,c,a,n,d,i,d,a,t,e,?,?,?,?,?,0kandId!t,0,k,a,n,d,I,d,!,t,?
candidate,c,a,n,d,i,d,a,t,e,?,?,?,?,?,0kandIdAt,0,k,a,n,d,I,d,A,t,?
cannot,c,a,n,n,o,t,?,?,?,?,?,?,?,?,0kanot,0,k,a,n,o,t,?,?,?,?
cannot,c,a,n,n,o,t,?,?,?,?,?,?,?,?,ka0not,k,a,0,n,o,t,?,?,?,?
capital,c,a,p,i,t,a,l,?,?,?,?,?,?,?,0kapIt(A)l,0,k,a,p,I,t,(A),l,?,?
car,c,a,r,?,?,?,?,?,?,?,?,?,?,?,k2,k,2,?,?,?,?,?,?,?,?
card,c,a,r,d,?,?,?,?,?,?,?,?,?,?,k2d,k,2,d,?,?,?,?,?,?,?
care,c,a,r,e,?,?,?,?,?,?,?,?,?,?,k3,k,3,?,?,?,?,?,?,?,?
career,c,a,r,e,e,r,?,?,?,?,?,?,?,?,kA0r£,k,A,0,r,£,?,?,?,?,?
carry,c,a,r,r,y,?,?,?,?,?,?,?,?,?,0kari,0,k,a,r,i,?,?,?,?,?
case,c,a,s,e,?,?,?,?,?,?,?,?,?,?,k!s,k,!,s,?,?,?,?,?,?,?
catch,c,a,t,c,h,?,?,?,?,?,?,?,?,?,ka1,k,a,1,?,?,?,?,?,?,?
cause,c,a,u,s,e,?,?,?,?,?,?,?,?,?,k6z,k,6,z,?,?,?,?,?,?,?
cell,c,e,l,l,?,?,?,?,?,?,?,?,?,?,sel,s,e,l,?,?,?,?,?,?,?
central,c,e,n,t,r,a,l,?,?,?,?,?,?,?,0sentr(A)l,0,s,e,n,t,r,(A),l,?,?
centre,c,e,n,t,r,e,?,?,?,?,?,?,?,?,0sentA,0,s,e,n,t,A,?,?,?,?
century,c,e,n,t,u,r,y,?,?,?,?,?,?,?,0sen1Uri,0,s,e,n,1,U,r,i,?,?
certain,c,e,r,t,a,i,n,?,?,?,?,?,?,?,0s4t(A)n,0,s,4,t,(A),n,?,?,?,?
certainly,c,e,r,t,a,i,n,l,y,?,?,?,?,?,0s4t(A)nli,0,s,4,t,(A),n,l,i,?,?
challenge,c,h,a,l,l,e,n,g,e,?,?,?,?,?,01alIn(d)S,0,1,a,l,I,n,(d),S,?,?
chance,c,h,a,n,c,e,?,?,?,?,?,?,?,?,£ns,£,n,s,?,?,?,?,?,?,?
change,c,h,a,n,g,e,?,?,?,?,?,?,?,?,1!n(d)S,1,!,n,(d),S,?,?,?,?,?
character,c,h,a,r,a,c,t,e,r,?,?,?,?,?,0karAktA,0,k,a,r,A,k,t,A,?,?
charge,c,h,a,r,g,e,?,?,?,?,?,?,?,?,£J,£,J,?,?,?,?,?,?,?,?
check,c,h,e,c,k,?,?,?,?,?,?,?,?,?,1ek,1,e,k,?,?,?,?,?,?,?
chief,c,h,i,e,f,?,?,?,?,?,?,?,?,?,^f,^,f,?,?,?,?,?,?,?,?
child,c,h,i,l,d,?,?,?,?,?,?,?,?,?,18ld,1,8,l,d,?,?,?,?,?,?
choice,c,h,o,i,c,e,?,?,?,?,?,?,?,?,Z3s,Z,3,s,?,?,?,?,?,?,?
choose,c,h,o,o,s,e,?,?,?,?,?,?,?,?,17z,1,7,z,?,?,?,?,?,?,?
church,c,h,u,r,c,h,?,?,?,?,?,?,?,?,1Q,1,Q,?,?,?,?,?,?,?,?
city,c,i,t,y,?,?,?,?,?,?,?,?,?,?,0sIti,0,s,I,t,i,?,?,?,?,?
claim,c,l,a,i,m,?,?,?,?,?,?,?,?,?,kl!m,k,l,!,m,?,?,?,?,?,?
class,c,l,a,s,s,?,?,?,?,?,?,?,?,?,kl2s,k,l,2,s,?,?,?,?,?,?
clear,c,l,e,a,r,?,?,?,?,?,?,?,?,?,kl£,k,l,£,?,?,?,?,?,?,?
clearly,c,l,e,a,r,l,y,?,?,?,?,?,?,?,0kl£li,0,k,l,£,l,i,?,?,?,?
close,c,l,o,s,e,?,?,?,?,?,?,?,?,?,klZs,k,l,Z,s,?,?,?,?,?,?
club,c,l,u,b,?,?,?,?,?,?,?,?,?,?,klub,k,l,u,b,?,?,?,?,?,?
